Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (°)
0.30000000000000043,-0.01958026402294348,-5.8331168007037801,-4.4670453649335116
0.73884310779857232,-0.019344989928136849,-5.9702327688955128,-10.807305472883044
1.8196304598048398,-0.019607624858303179,-6.6552880787746123,-24.605260699214128
4.4814047465571658,-0.019489965124028945,-9.2813721706656533,-47.857117343826133
11.036850034165221,-0.018974104799434021,-14.789312713932043,-69.529664593009926
27.181668598498,-0.018925011151059986,-21.412080838189844,-80.989184588300191
66.94329500821695,-0.019246715525667958,-28.160604365283533,-86.121947185608519
164.86864043382536,-0.018972459414396927,-35.549029934655969,-88.637208837556074
406.04019558884227,-0.019313376869344721,-39.781722728748754,-89.738946093029114
1000,-0.019149771099233454,-47.432165017073693,-91.416226016744744
