Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (angle)
0.3,-0.019161922,-6.389605351,-20.86951509
0.738843108,-0.018683129,-8.390533889,-42.09225569
1.81963046,-0.018340497,-13.43598249,-65.88140826
4.481404747,-0.017900136,-19.87912142,-79.2370386
11.03685003,-0.018449031,-26.26212206,-85.27112337
27.1816686,-0.018338862,-30.8245471,-87.84097623
66.94329501,-0.017998673,-38.1530601,-89.04148622
164.8686404,-0.018749685,-45.8220144,-89.76155201
406.0401956,-0.019043975,-53.57761199,-90.52948106
1000,-0.017850044,-61.09515409,-90.21757622
